clientTime	Local Time (hrs)	Boat Speed (kn) [H5000 Analog Expansion : 009780#]	Boat Speed (kn) [DST200 : 2006922]	Boat Speed (kn) [ST900 : BETA 6]	Boat Speed (kn) [DST200 : 3441103]	Boat Speed (kn) [H5000 Boat Speed : 009169#]
170207-114734.69		0.00	0.99	0.00	0.80	0.43	
170207-114734.89		0.00	0.99	0.00	0.80	0.43	
170207-114735.09		0.00	0.99	0.00	0.80	0.43	
170207-114735.29		0.00	0.97	0.00	0.80	0.43	
170207-114735.49		0.00	0.97	0.00	0.80	0.43	
170207-114735.69		0.00	0.97	0.00	0.80	0.43	
170207-114735.89		0.00	0.97	0.00	0.80	0.43	
170207-114736.09		0.00	0.97	0.00	0.80	0.42	
170207-114736.29		0.00	0.97	0.00	0.80	0.42	
170207-114736.49		0.00	0.97	0.00	0.80	0.42	
170207-114736.69		0.00	0.97	0.00	0.80	0.43	
170207-114736.89		0.00	0.97	0.00	0.80	0.43	
170207-114737.09		0.00	0.97	0.00	0.80	0.43	
170207-114737.29		0.00	0.97	0.00	0.80	0.42	
170207-114737.49		0.00	0.97	0.00	0.80	0.42	
170207-114737.69		0.00	0.97	0.00	0.80	0.42	
170207-114737.89		0.00	0.97	0.00	0.80	0.42	
170207-114738.09		0.00	0.97	0.00	0.80	0.42	
170207-114738.29		0.00	0.97	0.00	0.76	0.42	
170207-114738.49		0.00	0.97	0.00	0.76	0.42	
170207-114738.69		0.00	0.97	0.00	0.76	0.41	
170207-114738.89		0.00	0.97	0.00	0.76	0.41	
170207-114739.09		0.00	0.97	0.00	0.76	0.41	
170207-114739.29		0.00	0.97	0.00	0.76	0.44	
170207-114739.49		0.00	0.97	0.00	0.76	0.44	
170207-114739.69		0.00	0.97	0.00	0.76	0.44	
170207-114739.89		0.00	0.97	0.00	0.76	0.45	
170207-114740.09		0.00	0.97	0.00	0.76	0.45	
170207-114740.29		0.00	0.93	0.00	0.72	0.45	
170207-114740.49		0.00	0.93	0.00	0.72	0.44	
170207-114740.69		0.00	0.93	0.00	0.72	0.44	
170207-114740.89		0.00	0.93	0.00	0.72	0.44	
170207-114741.09		0.00	0.93	0.00	0.72	0.44	
170207-114741.29		0.00	0.93	0.00	0.72	0.44	
170207-114741.49		0.00	0.93	0.00	0.72	0.44	
170207-114741.69		0.00	0.93	0.00	0.72	0.44	
170207-114741.89		0.00	0.93	0.00	0.72	0.43	
170207-114742.09		0.00	0.93	0.00	0.72	0.43	
170207-114742.29		0.00	0.93	0.00	0.54	0.43	
170207-114742.49		0.00	0.93	0.00	0.54	0.43	
170207-114742.69		0.00	0.93	0.00	0.54	0.43	
170207-114742.89		0.00	0.93	0.00	0.54	0.43	
170207-114743.09		0.00	0.93	0.00	0.54	0.43	
170207-114743.29		0.00	0.89	0.00	0.47	0.43	
170207-114743.49		0.00	0.89	0.00	0.47	0.43	
170207-114743.69		0.00	0.89	0.00	0.47	0.45	
170207-114743.89		0.00	0.89	0.00	0.47	0.45	
170207-114744.09		0.00	0.89	0.00	0.47	0.45	
170207-114744.29		0.00	0.93	0.00	0.51	0.45	
170207-114744.49		0.00	0.93	0.00	0.51	0.45	
170207-114744.69		0.00	0.93	0.00	0.51	0.45	
170207-114744.89		0.00	0.93	0.00	0.51	0.45	
170207-114745.09		0.00	0.93	0.00	0.51	0.45	
170207-114745.29		0.00	0.93	0.00	0.51	0.45	
