statusId | label
1|test
statusId|sensorName|value|timestamp
1|K6DS3TR Acceleration Sensor|[-0.22266756,4.331243,8.712766]|1477918466816
1|K6DS3TR Gyroscope Sensor|[-0.087964594,0.35918877,-0.030543262]|1477918466821
1|K6DS3TR Acceleration Sensor|[-0.16520496,4.3025117,8.794171]|1477918466821
1|Gravity Sensor|[-0.3840663,4.335951,8.787628]|1477918466826
1|Linear Acceleration Sensor|[0.25716975,-0.016679287,0.17414284]|1477918466826
1|K6DS3TR Gyroscope Sensor|[-0.08674286,0.37873647,-0.037873644]|1477918466825
1|YAS537 Magnetic Sensor|[8.5,-34.100002,-26.9]|1477918466826
1|K6DS3TR Acceleration Sensor|[-0.12689656,4.3192716,8.961771]|1477918466826
1|K6DS3TR Acceleration Sensor|[-0.13886794,4.3168774,9.043176]|1477918466831
1|K6DS3TR Gyroscope Sensor|[-0.07941248,0.37140608,-0.04642576]|1477918466831
1|Gravity Sensor|[-0.39103243,4.329076,8.790709]|1477918466836
1|Linear Acceleration Sensor|[0.20667326,0.018927097,0.26922703]|1477918466836
1|K6DS3TR Gyroscope Sensor|[-0.07696902,0.3567453,-0.061086524]|1477918466836
1|YAS537 Magnetic Sensor|[8.5,-34.0,-27.0]|1477918466836
1|K6DS3TR Acceleration Sensor|[-0.18435916,4.348003,9.059936]|1477918466836
1|K6DS3TR Acceleration Sensor|[-0.23463893,4.364763,9.067119]|1477918466841
1|K6DS3TR Gyroscope Sensor|[-0.07819075,0.35063666,-0.06963864]|1477918466840
1|Gravity Sensor|[-0.39116257,4.3211555,8.794599]|1477918466846
1|Linear Acceleration Sensor|[0.08948395,0.019664764,0.27970314]|1477918466846
1|K6DS3TR Gyroscope Sensor|[-0.064751714,0.344528,-0.07574729]|1477918466846
1|YAS537 Magnetic Sensor|[8.400001,-34.0,-27.0]|1477918466846
1|K6DS3TR Acceleration Sensor|[-0.30167863,4.3408203,9.074302]|1477918466846
1|K6DS3TR Acceleration Sensor|[-0.3615355,4.3216662,9.103033]|1477918466851
1|K6DS3TR Gyroscope Sensor|[-0.064751714,0.3494149,-0.07819075]|1477918466850
1|Gravity Sensor|[-0.39171445,4.312645,8.79875]|1477918466855
1|Linear Acceleration Sensor|[-0.017706543,-0.017315865,0.30428314]|1477918466856
1|K6DS3TR Gyroscope Sensor|[-0.052534413,0.3567453,-0.087964594]|1477918466856
1|YAS537 Magnetic Sensor|[8.400001,-33.9,-27.0]|1477918466856
1|K6DS3TR Acceleration Sensor|[-0.409421,4.295329,9.103033]|1477918466856
1|K6DS3TR Acceleration Sensor|[-0.46209505,4.312089,9.0288105]|1477918466861
1|K6DS3TR Gyroscope Sensor|[-0.042760566,0.3640757,-0.087964594]|1477918466861
1|K6DS3TR Gyroscope Sensor|[-0.04153884,0.38362336,-0.08307768]|1477918466865
1|Gravity Sensor|[-0.39804837,4.302494,8.803434]|1477918466865
1|Linear Acceleration Sensor|[-0.121509284,-0.007164955,0.052988052]|1477918466865
1|YAS537 Magnetic Sensor|[8.400001,-33.9,-27.0]|1477918466866
1|K6DS3TR Acceleration Sensor|[-0.51955765,4.295329,8.856422]|1477918466866
1|K6DS3TR Acceleration Sensor|[-0.5458947,4.276175,8.784595]|1477918466871
1|K6DS3TR Gyroscope Sensor|[-0.036651913,0.38606682,-0.07696902]|1477918466871
1|K6DS3TR Gyroscope Sensor|[-0.057421334,0.3933972,-0.06719518]|1477918466876
1|Gravity Sensor|[-0.4128331,4.2950735,8.806377]|1477918466875
1|Linear Acceleration Sensor|[-0.16658139,-0.042841434,-0.17262268]|1477918466875
1|YAS537 Magnetic Sensor|[8.5,-33.9,-27.0]|1477918466875
1|K6DS3TR Acceleration Sensor|[-0.5794145,4.252232,8.633755]|1477918466876
1|K6DS3TR Acceleration Sensor|[-0.5865973,4.245049,8.58587]|1477918466881
1|K6DS3TR Gyroscope Sensor|[-0.062308256,0.3921755,-0.056199603]|1477918466881
1|K6DS3TR Gyroscope Sensor|[-0.07086037,0.39950588,-0.052534413]|1477918466886
1|Gravity Sensor|[-0.43352407,4.289669,8.808018]|1477918466886
1|Linear Acceleration Sensor|[-0.12673622,-0.07335091,-0.21496582]|1477918466886
1|YAS537 Magnetic Sensor|[8.5,-33.8,-27.1]|1477918466886
1|K6DS3TR Acceleration Sensor|[-0.5602603,4.216318,8.593052]|1477918466886
1|K6DS3TR Acceleration Sensor|[-0.505192,4.216318,8.710372]|1477918466891
1|K6DS3TR Gyroscope Sensor|[-0.07452556,0.39950588,-0.05131268]|1477918466891
1|K6DS3TR Gyroscope Sensor|[-0.081855945,0.37018433,-0.052534413]|1477918466896
1|Gravity Sensor|[-0.4564952,4.2852783,8.808994]|1477918466896
1|Linear Acceleration Sensor|[0.018342912,-0.09529734,0.0689764]|1477918466896
1|YAS537 Magnetic Sensor|[8.5,-33.8,-27.2]|1477918466896
1|K6DS3TR Acceleration Sensor|[-0.43815228,4.189981,8.877971]|1477918466896
1|K6DS3TR Acceleration Sensor|[-0.44054657,4.173221,8.954588]|1477918466901
1|K6DS3TR Gyroscope Sensor|[-0.06963864,0.3371976,-0.059864793]|1477918466900
1|K6DS3TR Gyroscope Sensor|[-0.056199603,0.2932153,-0.06841691]|1477918466905
1|Gravity Sensor|[-0.47356862,4.2773113,8.811963]|1477918466905
1|Linear Acceleration Sensor|[-0.055566132,-0.11127329,0.16177845]|1477918466906
1|YAS537 Magnetic Sensor|[8.5,-33.7,-27.2]|1477918466906
1|K6DS3TR Acceleration Sensor|[-0.52913475,4.166038,8.973742]|1477918466906
1|K6DS3TR Acceleration Sensor|[-0.6560313,4.1756153,8.897125]|1477918466911
1|K6DS3TR Gyroscope Sensor|[-0.04642576,0.2565634,-0.0720821]|1477918466910
1|K6DS3TR Gyroscope Sensor|[-0.029321533,0.21624629,-0.07941248]|1477918466915
1|Gravity Sensor|[-0.48617128,4.267622,8.815973]|1477918466915
1|Linear Acceleration Sensor|[-0.33985355,-0.051303864,0.026083946]|1477918466915
1|YAS537 Magnetic Sensor|[8.5,-33.7,-27.2]|1477918466916
1|K6DS3TR Acceleration Sensor|[-0.82602483,4.216318,8.842057]|1477918466916
1|K6DS3TR Acceleration Sensor|[-0.94573855,4.2594147,8.830086]|1477918466921
1|K6DS3TR Gyroscope Sensor|[-0.019547688,0.1881465,-0.08307768]|1477918466921
1|K6DS3TR Gyroscope Sensor|[-0.0061086523,0.13683382,-0.08552113]|1477918466926
1|Gravity Sensor|[-0.5046844,4.260528,8.818364]|1477918466926
1|Linear Acceleration Sensor|[-0.46499693,0.056349277,0.050029755]|1477918466926
1|YAS537 Magnetic Sensor|[8.5,-33.600002,-27.2]|1477918466925
1|K6DS3TR Acceleration Sensor|[-0.9696813,4.3168774,8.868394]|1477918466926
1|K6DS3TR Acceleration Sensor|[-0.97446984,4.3240604,8.892337]|1477918466931
1|K6DS3TR Gyroscope Sensor|[0.002443461,0.11362094,-0.08552113]|1477918466931
1|K6DS3TR Gyroscope Sensor|[0.010995574,0.07452556,-0.08307768]|1477918466936
1|Gravity Sensor|[-0.5295361,4.257468,8.818384]|1477918466936
1|Linear Acceleration Sensor|[-0.4305681,0.08095789,0.04522133]|1477918466936
1|YAS537 Magnetic Sensor|[8.6,-33.5,-27.2]|1477918466936
1|K6DS3TR Acceleration Sensor|[-0.9601042,4.338426,8.8636055]|1477918466936
1|K6DS3TR Acceleration Sensor|[-0.93616146,4.371946,8.751075]|1477918466940
1|K6DS3TR Gyroscope Sensor|[0.021991149,0.052534413,-0.0842994]|1477918466941
1|K6DS3TR Gyroscope Sensor|[0.018325957,0.032986723,-0.080634214]|1477918466946
1|Gravity Sensor|[-0.5581407,4.2577286,8.816495]|1477918466946
1|Linear Acceleration Sensor|[-0.35647225,0.10703421,-0.20907688]|1477918466946
1|YAS537 Magnetic Sensor|[8.7,-33.4,-27.300001]|1477918466946
1|K6DS3TR Acceleration Sensor|[-0.91461295,4.364763,8.607418]|1477918466946
1|K6DS3TR Acceleration Sensor|[-0.9074302,4.328849,8.487704]|1477918466951
1|K6DS3TR Gyroscope Sensor|[0.009773844,0.02443461,-0.08307768]|1477918466950
1|K6DS3TR Gyroscope Sensor|[-0.008552114,0.010995574,-0.08307768]|1477918466956
1|Gravity Sensor|[-0.5881392,4.2639465,8.811539]|1477918466956
1|Linear Acceleration Sensor|[-0.3001368,0.04095936,-0.52016544]|1477918466956
1|YAS537 Magnetic Sensor|[8.7,-33.4,-27.300001]|1477918466956
1|K6DS3TR Acceleration Sensor|[-0.888276,4.304906,8.291373]|1477918466956
1|K6DS3TR Acceleration Sensor|[-0.89067024,4.285752,8.18842]|1477918466961
1|K6DS3TR Gyroscope Sensor|[-0.02565634,0.009773844,-0.089186326]|1477918466960
